Samstag, 07.10.2023;;TUS Frammersbach (H);TSV Großheubach;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 07.10.2023;;TUS Frammersbach (H);TV Mömlingen II;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 07.10.2023;;TSV Großheubach;TV Mömlingen II;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 14.10.2023;;TSV Wonfurt (H);DJK Waldbüttelbrunn;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 14.10.2023;;TSV Wonfurt (H);DJK Schweinfurt;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 14.10.2023;;DJK Waldbüttelbrunn;DJK Schweinfurt;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 21.10.2023;;VfL Volkach (H);TV/DJK Hammelburg II;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 21.10.2023;;VfL Volkach (H);TG Würzburg;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 21.10.2023;;TV/DJK Hammelburg II;TG Würzburg;Infos zum main.Spiel;
14:00 Uhr;;;;;
Sonntag, 22.10.2023;;DJK Waldbüttelbrunn (H);TV Mömlingen II;Infos zum main.Spiel;
11:00 Uhr;;;;;
Sonntag, 22.10.2023;;DJK Waldbüttelbrunn (H);TSV Großheubach;Infos zum main.Spiel;
11:00 Uhr;;;;;
Sonntag, 22.10.2023;;TV Mömlingen II;TSV Großheubach;Infos zum main.Spiel;
11:00 Uhr;;;;;
Samstag, 11.11.2023;;TSV Großheubach (H);VfL Volkach;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 11.11.2023;;TSV Großheubach (H);DJK Waldbüttelbrunn;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 11.11.2023;;VfL Volkach;DJK Waldbüttelbrunn;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 11.11.2023;;TV Mömlingen II (H);TSV Wonfurt;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 11.11.2023;;TV Mömlingen II (H);TV/DJK Hammelburg II;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 11.11.2023;;TSV Wonfurt;TV/DJK Hammelburg II;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 11.11.2023;;TG Würzburg (H);DJK Schweinfurt;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 11.11.2023;;TG Würzburg (H);TUS Frammersbach;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 11.11.2023;;DJK Schweinfurt;TUS Frammersbach;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 18.11.2023;;TSV Großheubach (H);TG Würzburg;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 18.11.2023;;TSV Großheubach (H);TSV Wonfurt;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 18.11.2023;;TG Würzburg;TSV Wonfurt;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 25.11.2023;;TV/DJK Hammelburg II (H);TUS Frammersbach;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 25.11.2023;;TV/DJK Hammelburg II (H);DJK Waldbüttelbrunn;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 25.11.2023;;TUS Frammersbach;DJK Waldbüttelbrunn;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 25.11.2023;;DJK Schweinfurt (H);TV Mömlingen II;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 25.11.2023;;DJK Schweinfurt (H);VfL Volkach;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 25.11.2023;;TV Mömlingen II;VfL Volkach;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 02.12.2023;;TV/DJK Hammelburg II (H);TV Mömlingen II;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 02.12.2023;;TV/DJK Hammelburg II (H);VfL Volkach;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 02.12.2023;;TV Mömlingen II;VfL Volkach;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 09.12.2023;;TG Würzburg (H);DJK Waldbüttelbrunn;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 09.12.2023;;TG Würzburg (H);TV Mömlingen II;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 09.12.2023;;DJK Waldbüttelbrunn;TV Mömlingen II;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 09.12.2023;;DJK Schweinfurt (H);TSV Großheubach;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 09.12.2023;;DJK Schweinfurt (H);TV/DJK Hammelburg II;Infos zum main.Spiel;
14:00 Uhr;;;;;
